SMILES,Adduct,True CCS
CC(C)(CO)C(C(=NCCC(=NCCSSCCN=C(CCN=C(C(C(C)(C)CO)(O)[H])O)O)O)O)(O)[H],[M+H]+,222.5096263
CC(C)(C=C)c1c(cc(c(c1)/C=C/C(=O)c1ccc(cc1)O)OC)O,[M+H]+,191.2557476
CC(C)(C=C)c1c(cc(c(c1)/C=C/C(=O)c1ccc(cc1)O)OC)O,[M-H]-,194.5595589
CC(C(C=1CNC2=C(C(=NC(=N)N2)O)N1)=O)(O)[H],[M+H]+,153.0247653
CC(C(C=1C=NC2=C(C(=NC(=N)N2)O)N1)(O)[H])(O)[H],[M+H]+,153.6950994
CC(C(=O)O)(N=C(C)O)[H],[M+Na]+,134.9
CC(=O)SCCN=C(CCN=C(C(C(C)(C)COP(O)(=O)OP(O)(=O)OCC1(C(C(C(N2C=NC3=C(N)N=CN=C32)(O1)[H])(O)[H])(OP(O)(O)=O)[H])[H])(O)[H])O)O,[M+Na]+,263.0732376
CC(=O)OCC=1CSC2(C(C(N2C1C(=O)O)=O)(N=C(CSC3=CC=NC=C3)O)[H])[H],[M+H]+,179.8877628
CC(=O)CCc1cc(c(cc1)O)OC,[M-H]-,146.5687285
CC(=O)c1cc(c(cc1)O)OC,[M-H]-,133.8072462
CC(=O)C=CC1=CC=CC=C1,[M+H]+,131.2423894
CC(=NCCCCNCCCN)O,[M+H]+,142.8560874
CC(=NCCCCC(C(=O)O)(N)[H])O,[M+H]+,142.4379926
CC(=NCCCC(=O)O)O,[M+Na]+,136.7
CC(=NCCCC(=O)O)O,[M-H]-,132.6
CC(=NCCC1=CNC=2C=CC(=CC12)OC)O,[M+Na]+,157.8
CC(=NCCC1=CNC=2C=CC(=CC12)OC)O,[M-H]-,155.2
CC(=NCCC1=CNC=2C=CC(=CC12)O)O,[M+Na]+,153.9
CC(=NC1(C(CC(C(=O)O)(OC1(C(C(CO)(O)[H])(O)[H])[H])OP(O)(=O)OCC2(C(C(C(N3C=CC(=N)N=C3O)(O2)[H])(O)[H])(O)[H])[H])(O)[H])[H])O,[M+Na]+,221.5018629
CC(=NC1(C(C(C(CO)(OC1(OP(O)(O)=O)[H])[H])(O)[H])(O)[H])[H])O,[M-H]-,156.4181529
CC(=NC1(C(C(C(CO)(OC1(OP(O)(=O)OP(O)(=O)OCC2(C(C(C(N3C=CC(=NC3=O)O)(O2)[H])(O)[H])(O)[H])[H])[H])[H])(O)[H])(O)[H])[H])O,[M+Na]+,217.6
CC(=NC1(C(C(C(CO)(OC1(N)[H])[H])(O)[H])(O)[H])[H])O,[M-H]-,155.3
CC(=NC=1C=CN(C2(C(C(C(CO)(O2)[H])(O)[H])(O)[H])[H])C(N1)=O)O,[M-H]-,161.4026856
CC(=NC(CO)(C(=O)O)[H])O,[M-H]-,127.8
CC(=NC(CCCN)(C(=O)O)[H])O,[M+H]+,136.9360855
CC(=NC(CCC(=O)O)(C(=O)O)[H])O,[M+H]+,139.0333333
CC(=NC(CCC(=N)O)C(=O)O)O,[M+Na]+,144.6132213
CC(=NC(CC1=CNC2=CC=CC=C12)(C(=O)O)[H])O,[M+Na]+,162.7367489
CC(=NC(CC1=CNC2=CC=CC=C12)(C(=O)O)[H])O,[M+H]+,152.2
CC(=CCC[C@@](C)([C@H]1CC[C@@]2([C@@H]1[C@@H](C[C@H]1[C@]2(CC[C@@H]2[C@@]1(CC[C@@H](C2(C)C)O)C)C)O)C)O[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O)O)O)C,[M-H]-,257.9143196
c1nc2c([nH]1)c(=S)nc([nH]2)N,[M-H]-,128.8564654
C1CCN(CC1)C=2C3=C(C(=NC(=N3)N(CCO)CCO)N4CCCCC4)N=C(N2)N(CCO)CCO,[M+H]+,223.9241077
c1ccc(cc1)CCOC(=O)/C=C/c1ccc(c(c1)O)O,[M-H]-,176.9371383
c1ccc(cc1)[C@H](C#N)O[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O)O)O)O)O)O,[M-H]-,205.68896
C1CC(C(=N)O)(N(C1)C(C(CC2=CN=CN2)(N=C(C3(CCC(=N3)O)[H])O)[H])=O)[H],[M+H]+,180.1
C1CC(=O)OC2=CC=CC=C21,[M-H]-,127.47438
C1C2CC3CC1CC(C2)(C3)N,[M+H]+,138.5942364
C1C2(C(C(C(N3C=NC4=C3NC(=N)N=C4O)(O2)[H])(O)[H])(OP(O)(=O)O1)[H])[H],[M+H]+,172.6
C1C2(C(C(C(N3C=NC4=C3NC(=N)N=C4O)(O2)[H])(O)[H])(OP(O)(=O)O1)[H])[H],[M+Na]+,184.1
C1C[C@@H](C([C@@H]2CC[C@]3([C@@]4(CC[C@@H]([C@H]4[C@@H](C[C@@H]3[C@@]12C)O)[C@](C)(CCC=C(C)C)O)C)C)(C)C)O,[M-H]-,222.9452048
C1C(CC[C@@]2(CC[C@]3([C@@]4(CC[C@H]5C([C@H]([C@@H](C[C@@]5([C@H]4CC=C3[C@H]12)C)O)O)(C)C)C)C)C(=O)O)(C)C,[M-H]-,222.5352747
c1c(cc(c(c1OC)OC)OC)/C=C/C(=O)O,[M-H]-,167.9116062
C1C(C(COP(O)(O)=O)(OC1(N2C=NC3=C2N=CN=C3O)[H])[H])(O)[H],[M+Na]+,167.1372743
C1C(C(COP(O)(=O)OP(O)(=O)OP(O)(O)=O)(OC1(N2C=NC3=C2NC(=N)N=C3O)[H])[H])(O)[H],[M-H]-,191.3
C1C(C(COP(O)(=O)OP(O)(=O)OP(O)(O)=O)(OC1(N2C=NC3=C(N)N=CN=C32)[H])[H])(O)[H],[M-H]-,185.4
c12c(ncn1COCCO)c(=O)[nH]c(n2)N,[M+H]+,149.1662917
c12c(ncn1COCCO)c(=O)[nH]c(n2)N,[M-H]-,148.313532
c12c(cccc1)C[C@@H]1c3c2c(c(cc3CCN1C)OC)OC,[M+H]+,172.4151441
C12=C3[C@@H](CCC1=CC(=O)CC2)[C@H]1[C@](C=C3)([C@](CC1)(O)CC=C)C,[M-H]-,180.5636648
C1=NC2=C(N1)NC(=N)N=C2O,[M+Na]+,137.5
C1=NC2=C(N)N=CNC2=N1,[M+H]+,126.1
C1=CN=C(N=C1O)O,[M-H]-,114
C1=CN(C2(CC(C(COP(O)(=O)OP(O)(O)=O)(O2)[H])(O)[H])[H])C(=NC1=N)O,[M-H]-,172.9
C1=CN(C2(CC(C(COP(O)(=O)OP(O)(=O)OP(O)(O)=O)(O2)[H])(O)[H])[H])C(N=C1O)=O,[M-H]-,178.4
C1=CN(C2(CC(C(COP(O)(=O)OP(O)(=O)OP(O)(O)=O)(O2)[H])(O)[H])[H])C(=NC1=N)O,[M-H]-,176.921727
C1=CN(C2(C3(C(C(CO)(O2)[H])(OP(O)(=O)O3)[H])[H])[H])C(=NC1=N)O,[M+H]+,162.4818247
C1=CN(C2(C(C(C(COP(O)(=O)OP(O)(=O)OP(O)(O)=O)(O2)[H])(O)[H])(O)[H])[H])C(=NC1=N)O,[M+H]+,188.6
C1=CN(C2(C(C(C(COP(O)(=O)OP(O)(=O)OC3(C(C(C(C(CO)(O3)[H])(O)[H])(O)[H])(O)[H])[H])(O2)[H])(O)[H])(O)[H])[H])C(N=C1O)=O,[M+Na]+,209.8415204
C1=CN(C2(C(C(C(COP(O)(=O)OP(O)(=O)OC3(C(C(C(C(C(=O)O)(O3)[H])(O)[H])(O)[H])(O)[H])[H])(O2)[H])(O)[H])(O)[H])[H])C(N=C1O)=O,[M+Na]+,210.8
C1=CC2=C(C=CC(=O)O2)C=C1O,[M+H]+,129.5846156
C1=CC2=C(C=CC(=O)O2)C=C1O,[M-H]-,129.6139591
C1=CC=C2C(=C1)N=C(N2C3=CCN(CCCC(C4=CC=C(C=C4)F)=O)CC3)O,[M+H]+,195.0409083
C1=CC=C2C(=C1)CC(C3=CC=CC=C3N2C(=N)O)=O,[M+H]+,152.7426615
C1=CC=C(C=C1)NC(=O)C2=CC=CC=C2I,[M+H]+,152.6197795
C1=CC=C(C=C1)NC(=O)C2=CC=CC=C2I,[M-H]-,156.0509719
C1=CC=C(C=C1)N=C(C2=CC=CC=C2O)O,[M+H]+,143.9349637
C1=CC=C(C=C1)CSCC2=NC=3C=C(C(=CC3S(N2)(=O)=O)S(N)(=O)=O)Cl,[M+H]+,186.7338897
C1=CC=C(C=C1)CCC(=NCC(=O)O)O,[M+H]+,149.4657949
C1=CC=C(C=C1)CC(=NC(CCC(=N)O)(C(=O)O)[H])O,[M+Na]+,171.2489265
C1=CC=C(C=C1)C2=CC(=O)OC3=C2C=CC(=C3O)O,[M+H]+,156.5026607
C1=CC=C(C=C1)C2=CC(=O)OC3=C2C=CC(=C3O)O,[M-H]-,157.0131908
C1=CC=C(C=C1)C2(C3=CC=CC=C3)C(=NC(=N2)O)O,[M+H]+,158.3807975
C1=CC=C(C=C1)C(C(=O)O)(O)[H],[M-H]-,131.1
C1=CC=C(C(=C1)C(=NCC(=O)O)O)O,[M+Na]+,154.8666667
C1=CC(CCC(=O)O)=CC(=C1)O,[M-H]-,136.1142415
C1=CC(=CN=C1)CO,[M+H]+,119.9415885
C1=CC(=CN=C1)C(=NCC(=O)O)O,[M-H]-,138.0751719
C1=CC(=CC(=C1)O)CO,[M-H]-,123.6
C1=CC(=C[N+](=C1)C2(C(C(C(COP(=O)(O)OP(=O)(O)OCC3(C(C(C(N4C=NC5=C4N=CN=C5O)(O3)[H])(O)[H])(O)[H])[H])(O2)[H])(O)[H])(O)[H])[H])C(=N)O,[M+H]+,222.791167
C1=CC(=C(C=C1C2=CC(=O)C3=C(C=C(C=C3O2)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O)O)O,[M+H]+,209.0068227
C1=CC(=C(C=C1C2=CC(=O)C3=C(C=C(C=C3O2)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O)O)O,[M-H]-,210.1378856
C1=C2C(=NC(N=C2O)=O)NN1,[M-H]-,120.1027106
C1=C(C=C2C(=C1O)C(C=C(C3=CC(=C(C=C3O)O)O)O2)=O)O,[M+H]+,163.3510487
C1=C(C=C(C(=C1O)O)O)[C@@H]2[C@H](C(=O)C3=C(C=C(C=C3O2)O)O)O,[M+H]+,173.6282291
C1=C(C=C(C(=C1O)O)O)[C@@H]2[C@H](C(=O)C3=C(C=C(C=C3O2)O)O)O,[M-H]-,162.7311836
C1=C(C=C(C(=C1I)OC2=CC(=C(C(=C2)I)O)I)I)CC(C(=O)O)(N)[H],[M-H]-,206.1550437
C1=C(C(=CC2=C1N=CNS2(=O)=O)S(N)(=O)=O)Cl,[M+H]+,161.0374705
C1=C([C@H](/C(=C\C)/[C@@H](O1)O[C@@H]1O[C@@H]([C@H]([C@@H]([C@H]1O)O)O)CO)CC(=O)OCCc1cc(c(cc1)O)O)C(=O)OC,[M-H]-,217.9189174
C1[C@H](Oc2cc(cc(c2C1=O)O)O)c1ccccc1,[M+H]+,157.9562198
C1[C@H](Oc2cc(cc(c2C1=O)O)O)c1ccccc1,[M-H]-,159.7361019
C1[C@H](Oc2c(C1=O)ccc(c2)O)c1ccc(cc1)O,[M+H]+,161.9974184
C1[C@H](Oc2c(C1=O)ccc(c2)O)c1ccc(cc1)O,[M-H]-,161.7481922
C1(=O)O[C@H]2[C@@]3([C@]41[C@H](C[C@@]3(O)C(C)(C)C)OC(=O)C4)[C@H](C(=O)O2)O,[M-H]-,162.3961641
C1(=O)C(=C)[C@H]2[C@H](O1)[C@H]1[C@](CC/C=C(\CC2)/C)(C)O1,[M+H]+,154.2330393
C1(=C(C(=O)c2c(C1=O)cccc2)O)[C@@H]1CC[C@H](CC1)c1ccc(cc1)Cl,[M-H]-,193.5223253
C=CC1=C(C)C2=C(C=3C(C)=C(CCC(=O)O)C(=C(C4=C(CCC(=O)O)C(C)=C(C(=C5C(C=C)=C(C)C(C(=C1N2)[H])=N5)[H])N4)[H])N3)[H],[M-H]-,245.2321676
C=CC1(C)CC(C2(C3(C)C(CCC(C)(C)C3(C(C(C2(C)O1)(O)[H])(O)[H])[H])(O)[H])O)=O,[M+Na]+,185.5881278
C=1CC(=CN(C1)C2(C(C(C(COP(O)(=O)OP(O)(=O)OCC3(C(C(C(N4C=NC5=C(N)N=CN=C54)(O3)[H])(OP(O)(O)=O)[H])(O)[H])[H])(O2)[H])(O)[H])(O)[H])[H])C(=N)O,[M-H]-,246.7
C=1C=C(C=CC1C(O)=O)N,[M-H]-,128.1
C=1C=C(C=CC1C(NC(CCC(=O)O)C(=O)O)=O)NCC2CNC3=C(C(=NC(=N)N3)O)N2C=O,[M-H]-,196.2592375
C=1C=C(C=CC1C(NC(CCC(=O)O)(C(=O)O)[H])=O)NCC=2CNC3=C(C(=NC(=N)N3)O)N2,[M+H]+,194.1359041
C=1C=C(C=CC1C(NC(CCC(=O)O)(C(=O)O)[H])=O)NCC=2CNC3=C(C(=NC(=N)N3)O)N2,[M-H]-,196.4184197
C\1=C(/CC/C=C(/CC(=O)C(=C(C)C)C1)\C)\C,[M+H]+,149.5257404
C[C@H]1CC[C@]2([C@H]([C@H]3[C@@H](O2)C[C@@H]2[C@@]3(CC[C@H]3[C@H]2CC=C2[C@@]3(CC[C@@H](C2)O[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O[C@H]2[C@@H]([C@@H]([C@H]([C@@H](O2)C)O)O)O)O)O[C@H]2[C@@H]([C@@H]([C@H]([C@@H](O2)C)O)O)O)C)C)C)OC1,[M-H]-,324.1474341
C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O[C@@H]1[C@H]([C@@H]([C@H](O[C@H]1Oc1cc(c(c(c1)O)C(=O)CCc1cc(c(cc1)OC)O)O)CO)O)O)O)O)O,[M+H]+,233.956908
C[C@H]1[C@@H]([C@H]([C@@H](O)[C@@H](O1)O[C@@H]1[C@@H](O)[C@H](O)[C@@H](CO)O[C@H]1Oc1cc2O[C@@H](CC(=O)c2c(c1)O)c1ccc(c(c1)O)OC)O)O,[M-H]-,229.4971829
C/C(=C\C=C\C=C(/C)\C=C\C=C(/C)\C(=O)O[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O)O)O)O)O)O)/C=C/C=C(\C)/C(=O)O[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O)O)O)O)O)O,[M-H]-,310.8039717
C(CNC(=N)O)C(=O)O,[M+Na]+,133.4
C(CCC(=N)O)CC1CCSS1,[M+Na]+,150.7
C(CC(C(=O)O)N)CNC(=N)NO,[M+H]+,139.0353483
C(CC(=O)CC(=O)CCc1cc(c(cc1)O)OC)c1cc(c(cc1)O)OC,[M-H]-,185.5514588
C(CC(=O)C[C@H](CCCCCCCCC)O)c1cc(c(cc1)O)OC,[M-H]-,188.003342
C(CC(=NC(CSSCC(C(=NCC(=O)O)O)N=C(CCC(C(=O)O)N)O)C(=NCC(=O)O)O)O)C(C(=O)O)N,[M+H]+,225.4661656
C(CC(=NC(CCC(=O)O)(C(=O)O)[H])O)C(C(=O)O)(N)[H],[M+H]+,162.889362
C(CC(=NC(CCC(=O)O)(C(=O)O)[H])O)C(C(=O)O)(N)[H],[M-H]-,152.4301305
C(CC(=N)O)C(C(=O)O)(N)[H],[M+Na]+,133.6844834
C(C1(C(C(C(O)(O1)[H])(O)[H])(O)[H])[H])O,[M+Na]+,135.8
C(C1(C(C(C(N2C=NC3=C2NC(=N)N=C3O)(O1)[H])(O)[H])(O)[H])[H])O,[M-H]-,164.3788619
C(C1(C(C(C(N2C=NC3=C2N=CN=C3O)(O1)[H])(O)[H])(O)[H])[H])OP(O)(O)=O,[M+H]+,175.4
C(C1(C(C(C(N2C=NC3=C2N=CN=C3O)(O1)[H])(O)[H])(O)[H])[H])OP(O)(O)=O,[M-H]-,171.3
C(C1(C(C(C(N2C=NC3=C2N=CN=C3O)(O1)[H])(O)[H])(O)[H])[H])OP(O)(=O)OP(O)(O)=O,[M+H]+,186.4
C(C1(C(C(C(N2C=NC(=C2N)C(=N)O)(O1)[H])(O)[H])(O)[H])[H])OP(O)(O)=O,[M-H]-,167.6150834
C(C1(C(C(C(COP(O)(O)=O)(O)O1)(O)[H])(O)[H])[H])O,[M+Na]+,155.6424867
C(C1(C(C(C(CO)(O)O1)(O)[H])(O)[H])[H])OP(O)(O)=O,[M+Na]+,156.436397
C(C1(C(C(C(C(O1)(OP(O)(=O)OP(O)(=O)OCC2(C(C(C(N3C=NC4=C3NC(=N)N=C4O)(O2)[H])(O)[H])(O)[H])[H])[H])(O)[H])(O)[H])(O)[H])[H])O,[M+H]+,219.637425
C(C1(C(C(C(C(O1)(OP(O)(=O)OP(O)(=O)OCC2(C(C(C(N3C=NC4=C3NC(=N)N=C4O)(O2)[H])(O)[H])(O)[H])[H])[H])(O)[H])(O)[H])(O)[H])[H])O,[M+Na]+,222.3
C(C1(C(C(C(C(O1)(OP(O)(=O)OP(O)(=O)OCC2(C(C(C(N3C=NC4=C3NC(=N)N=C4O)(O2)[H])(O)[H])(O)[H])[H])[H])(O)[H])(O)[H])(O)[H])[H])O,[M-H]-,209.1
C(C(CO)OC1(C(C(C(C(CO)(O1)[H])(O)[H])(O)[H])(O)[H])[H])O,[M-H]-,157.2666667
C(C(C(C(C(COC1(C(C(C(C(COC2(C(C(C(C(CO)(O2)[H])(O)[H])(O)[H])(O)[H])[H])(O1)[H])(O)[H])(OC3(C(C(C(C(CO)(O3)[H])(O)[H])(O)[H])(O)[H])[H])[H])(O)[H])[H])(O)[H])(O)[H])(OC4(C(C(C(C(CO)(O4)[H])(O)[H])(O)[H])(O)[H])[H])[H])(O)[H])=O,[M-H]-,252.1481258
C(C(C(C(C(CO)=O)(OC1(C(C(C(C(CO)(O1)[H])(O)[H])(O)[H])(O)[H])[H])[H])(O)[H])(O)[H])O,[M+Na]+,177
C(C(C(C(C(C(=O)O)(O)[H])(O)[H])(O)[H])(O)[H])=O,[M-H]-,128.2955567
C(C(C(=O)O)(O)[H])(C(=O)O)(O)[H],[M+Na]+,137.6
C(C(C(=O)O)(N)[H])O,[M-H]-,136.6640161
C(C(C(=O)O)(N)[H])C(=N)O,[M+Na]+,131.9387522
C(C(=O)O)N=C(C(CS)(N)[H])O,[M-H]-,131.7737492
C(=O)(C)O[C@H]1[C@H](NC[C@@H]1O)Cc1ccc(cc1)OC,[M+H]+,164.1824982
[H][C@](O)(CO)COP(O)(=O)OC[C@@]([H])(COC(=O)CCCCCCCCCCCCCCC)OC(=O)CCC\C=C/C\C=C/C\C=C/C\C=C/CCCCC,[M+Na]+,281
[H][C@](N)(COP(O)(=O)OC[C@@]([H])(COC(=O)CCCCCCCCCCCCCCCCC)OC(=O)CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC)C(O)=O,[M+Na]+,295.1
[H][C@@](O)(CO\C=C/CCCCCCCCCCCCCC)COP(O)(=O)OCCN,[M+Na]+,214.7
[H][C@@](O)(\C=C\CCCCCCCCCCCCC)[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)NC(=O)CCCCCCCCCCCCCCCC,[M+Na]+,286.8
[H][C@@](O)(\C=C\CCCCCCCCCCCCC)[C@]([H])(CO)NC(=O)CCCCCCCCCCCCC\C=C/CCCCCCCC,[M+H]+,276.8
[H][C@@](COC(=O)CCCCCCCCCCCCCCCCC)(COP(O)(=O)OCCN)OC(=O)CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC,[M-H]-,277.4
[H][C@@](COC(=O)CCCCCCCCCCCCCCCCC)(COP(O)(=O)O[C@H]1C(O)C(O)C(O)[C@@H](O)C1O)OC(=O)CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC,[M+Na]+,299.8
[H][C@@](COC(=O)CCCCCCCCCCCCCCCCC)(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCCCC\C=C/C\C=C/CCCCC,[M+H]+,296
[H][C@@](COC(=O)CCCCCCCCCCCCCCCCC)(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCC\C=C/C\C=C/C\C=C/C\C=C/CCCCC,[M+H]+,298.8
[H][C@@](COC(=O)CCCCCCCCCCCCCCCCC)(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CCCCC,[M+H]+,297.8
[H][C@@](COC(=O)CCCCCCCCCCCCCCC)(COP(O)(=O)O[C@H]1C(O)C(O)C(O)[C@@H](O)C1O)OC(=O)CCCCCCCCCCC\C=C/C\C=C/CCCCC,[M+Na]+,304.5
[H][C@@](COC(=O)CCCCCCCCCCCCCCC)(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCC\C=C/C\C=C/C\C=C/C\C=C/CCCCC,[M+H]+,286
[H][C@@](COC(=O)CCCCCCCCCCCCCCC)(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CCCCC,[M+H]+,291.9
[H][C@@](CO\C=C/CCCCCCCCCCCCCCCC)(COP(O)(=O)OCCN)OC(=O)CCCCCCC\C=C/CCCCCC,[M+H]+,274.4
[H][C@@](CO\C=C/CCCCCCCCCCCCCCCC)(COP(O)(=O)OCCN)OC(=O)CCCCCCC\C=C/CCCCCC,[M+Na]+,278.1
[H][C@@](CO\C=C/CCCCCCCCCCCCCCCC)(COP(O)(=O)OCCN)OC(=O)CCCCCCC\C=C/CCCCCC,[M-H]-,263.5
[H][C@@](CO\C=C/CCCCCCCCCCCCCCCC)(COP(O)(=O)OCCN)OC(=O)CCCCC\C=C/C\C=C/C\C=C/C\C=C/CCCCC,[M+Na]+,290.1
[H][C@@](CO\C=C/CCCCCCCCCCCCCC)(COP(O)(=O)OCCN)OC(=O)CCCCCC\C=C/C\C=C/C\C=C/CCCCC,[M-H]-,267.1
[H][C@@](CO[C@@H]1O[C@H](CO)[C@H](O)C(OS(O)(=O)=O)C1O)(NC(=O)CCCCCCCCCCCCCCCCCCCCC)[C@]([H])(O)\C=C\CCCCCCCCCCCCC,[M-H]-,295.5
[C@H]12[C@H]3[C@@H]([C@@]4(C(=CC(=O)C=C4)CC3)C)C(=O)C[C@@]1([C@](CC2)(C(=O)CO)O)C,[M-H]-,191.155606
[C@H]1(CC(=O)c2c(O1)cc(cc2OC)O)c1ccccc1,[M+H]+,160.7579271
[C@H]1([C@H]([C@H](O[C@H]2O[C@@H]([C@H](C[C@H]2N)O)CN)[C@H](C[C@H]1N)N)O)O[C@H]1O[C@@H]([C@H]([C@@H]([C@H]1O)N)O)CO,[M+H]+,202.6481025
[C@H]1([C@H]([C@H](O[C@H]2O[C@@H]([C@H](C[C@H]2N)O)CN)[C@H](C[C@H]1N)N)O)O[C@H]1O[C@@H]([C@H]([C@@H]([C@H]1O)N)O)CO,[M-H]-,203.6600884
[C@@H]1(c2cc(c(cc2)O)OC)[C@H](Oc2c(O1)cc(cc2)[C@H]1Oc2c(C(=O)[C@@H]1O)c(cc(c2)O)O)CO,[M-H]-,204.6314812
[C@@H]1([C@H]2[C@@H](C(=CO1)C(=O)O)CC=C2CO)O[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@H](O1)CO,[M-H]-,184.1686905
[C@@]12(O[C@H]([C@@H]([C@H](C1)O)C(=O)O)C[C@@H](O[C@H]1[C@H]([C@H]([C@@H]([C@H](O1)C)O)N)O)/C=C/C=C/C=C/C=C/C[C@H](OC(=O)/C=C/[C@H]1O[C@@H]1C[C@@H](C2)O)C)O,[M+H]+,261.0581748
[C@@]12(O[C@H]([C@@H]([C@H](C1)O)C(=O)O)C[C@@H](O[C@H]1[C@H]([C@H]([C@@H]([C@H](O1)C)O)N)O)/C=C/C=C/C=C/C=C/C[C@H](OC(=O)/C=C/[C@H]1O[C@@H]1C[C@@H](C2)O)C)O,[M-H]-,262.3227788
[C@@]12([C@]3([C@@H]([C@@]4([C@H](C([C@@H](O)CC4)(C)C)[C@H](C3)O)C)C[C@H]([C@@H]1[C@@H]([C@@](O[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O)O)O)(CCC=C(C)C)C)CC2)O)C)C,[M-H]-,259.1807463
